delta_t:0.20, 最大值:1217.7974, 变量取值:99829.4261, 1.00
delta_t:0.18, 最大值:1164.2358, 变量取值:99275.9108, 0.92
delta_t:0.20, 最大值:1126.6409, 变量取值:98279.0511, 0.87
delta_t:0.18, 最大值:1204.2529, 变量取值:99553.7128, 0.98
delta_t:0.16, 最大值:1203.7497, 变量取值:98340.7225, 1.00
delta_t:0.14, 最大值:1202.2769, 变量取值:98193.9132, 1.00
delta_t:0.12, 最大值:1165.4047, 变量取值:95162.5152, 0.99
delta_t:0.10, 最大值:1216.1029, 变量取值:99643.3182, 1.00
delta_t:0.08, 最大值:1192.0209, 变量取值:98485.7631, 0.97
delta_t:0.06, 最大值:1171.9873, 变量取值:99878.7988, 0.92
delta_t:0.04, 最大值:1215.7231, 变量取值:99533.5962, 1.00
delta_t:0.02, 最大值:1163.5370, 变量取值:99023.5217, 0.92
